name,region,zone,address,postal,email,phone,website,type
Siglap Primary School,East Coast,EAST,1 Siglap Road,S455936,siglap_ps@moe.edu.sg,64466966,http://www.siglappri.moe.edu.sg,Government
Tampines Primary School,Tampines,EAST,1 Tampines Street 21,S529206,tampines_ps@moe.edu.sg,65815555,http://www.tampinespri.moe.edu.sg,Government
Tampines Green Primary School,Tampines,EAST,1 Tampines Green,S529346,tampinesgreen_ps@moe.edu.sg,65815777,http://www.tampisgreenpri.moe.edu.sg,Government
Tanjong Katong Primary School,East Coast,EAST,1 Tanjong Katong Road,S436761,tanjongkatong_ps@moe.edu.sg,64475577,http://www.tanjongkatongpri.moe.edu.sg,Government
Ai Tong School,Bishan,CENTRAL,100 Bright Hill Drive,S579646,aitong_sch@moe.edu.sg,64547672,http://www.aitong.moe.edu.sg,Government-Aided
Alexandra Primary School,Bukit Merah,SOUTH,2A Prince Charles Crescent,S159016,alexandra_ps@moe.edu.sg,62485400,http://alexandrapri.moe.edu.sg,Government
Anglo-Chinese School (Junior),Central,CENTRAL,16 Winstedt Road,S227988,acjunior_sch@moe.edu.sg,64733066,http://www.acjunior.moe.edu.sg,Government
Anglo-Chinese School (Primary),Novena,CENTRAL,50 Barker Road,S309918,acp_sch@moe.edu.sg,62509600,http://www.acpri.moe.edu.sg,Government
Bendemeer Primary School,Kallang,CENTRAL,91 Bendemeer Road,S339948,bendemeer_ps@moe.edu.sg,62988833,http://www.bendepri.moe.edu.sg,Government
Blangah Rise Primary School,Bukit Merah,SOUTH,91 Telok Blangah Heights,S109100,blangahrise_ps@moe.edu.sg,62736666,http://www.blangahrisepri.moe.edu.sg,Government
Bukit Merah Primary School,Bukit Merah,SOUTH,1 Bukit Merah Lane,S159013,bukitmerah_ps@moe.edu.sg,62739588,http://www.bukitmerahpri.moe.edu.sg,Government
Cantonment Primary School,Bukit Merah,SOUTH,10 Cantonment Road,S109303,cantonment_ps@moe.edu.sg,62735599,http://www.cantonmentpri.moe.edu.sg,Government
Canossa Catholic Primary School,Geylang,CENTRAL,1 Sallim Road,S387621,canossa_ps@moe.edu.sg,62913355,http://www.canossapri.moe.edu.sg,Government-Aided
Chong Boon Primary School,Bishan,CENTRAL,100 Bukit Timah Road,S229827,chongboon_ps@moe.edu.sg,64505522,http://www.chongboonpri.moe.edu.sg,Government
Chong Fu Primary School,Bishan,CENTRAL,1 Chong Fu Road,S579202,chongfu_ps@moe.edu.sg,64513488,http://www.chongfupri.moe.edu.sg,Government
Endeavour Primary School,Jurong East,WEST,1 Endeavour Road,S609708,endeavour_ps@moe.edu.sg,66443300,http://www.endeavourpri.moe.edu.sg,Government
Farrer Park Primary School,Kallang,CENTRAL,201 Serangoon Road,S328108,farrerpk_ps@moe.edu.sg,63950855,http://www.farrerparkpri.moe.edu.sg,Government
Haig Girls' School,Geylang,CENTRAL,1 Haig Road,S369716,haig_gs@moe.edu.sg,63986999,http://www.haiggirlsch.moe.edu.sg,Government
Lorong Chuan Primary School,Geylang,CENTRAL,1 Lorong Chuan,S400001,lorongchuan_ps@moe.edu.sg,64480388,http://www.lorongchuanpri.moe.edu.sg,Government
Nan Chiau Primary School,Bukit Timah,CENTRAL,1 Nan Chiau Lane,S598789,nanchiaupr_sch@moe.edu.sg,64693088,http://www.nanchiaupr.moe.edu.sg,Government-Aided
Raffles Institution (Primary),Central,CENTRAL,1 Raffles Institution Lane,S178721,rifp@ri.edu.sg,62191800,http://www.ri.edu.sg,Government
Temasek Primary School,Bukit Merah,SOUTH,1 Temasek Avenue,S039190,temasek_ps@moe.edu.sg,63205000,http://www.temasekpri.moe.edu.sg,Government
Beacon Primary School,Bukit Panjang,WEST,36 Bukit Panjang Ring Road,S679944,beacon_ps@moe.edu.sg,68103166,http://www.beaconpri.moe.edu.sg,Government
Boon Lay Garden Primary School,Jurong West,WEST,20 Boon Lay Drive,S649930,boonlay_ps@moe.edu.sg,66143848,http://www.boonlaypri.moe.edu.sg,Government
Bukit Panjang Primary School,Bukit Panjang,WEST,109 Cashew Road,S679676,bukitpanjang_ps@moe.edu.sg,67698233,http://www.bukitpanjangpri.moe.edu.sg,Government
Bukit Timah Primary School,Bukit Timah,WEST,111 Lorong Kismis,S598112,bukittimah_ps@moe.edu.sg,64663639,http://www.bukittimahpri.moe.edu.sg,Government
Bukit View Primary School,Bukit Batok,WEST,18 Bukit Batok Street 21,S659634,bukitview_ps@moe.edu.sg,65608813,http://www.bukitviewpri.moe.edu.sg,Government
Casuarina Primary School,Bukit Batok,WEST,12 Casuarina Road,S679954,casuarina_ps@moe.edu.sg,65607899,http://www.casuarinapri.moe.edu.sg,Government
Clementi Primary School,Clementi,WEST,50 West Coast Road,S127370,clementi_ps@moe.edu.sg,67695255,http://www.clementipri.moe.edu.sg,Government
Crescent Primary School,Jurong East,WEST,1 Crescent Road,S629256,crescent_ps@moe.edu.sg,66841000,http://www.crescentpri.moe.edu.sg,Government
Dover Primary School,Dover,WEST,2 Dover Road,S139645,dover_ps@moe.edu.sg,67733166,http://www.doverpri.moe.edu.sg,Government
Fairfield Methodist Primary School,Bukit Batok,WEST,1 Fairfield Road,S638826,fairfield_ps@moe.edu.sg,65608822,http://www.fairfieldpri.moe.edu.sg,Government-Aided
Frontier Primary School,Jurong East,WEST,1 Frontier Road,S629152,frontier_ps@moe.edu.sg,66841111,http://www.frontierpri.moe.edu.sg,Government
Ghim Moh Primary School,Bukit Timah,WEST,1 Ghim Moh Road,S589318,ghimmoh_ps@moe.edu.sg,64665088,http://www.ghimmohpri.moe.edu.sg,Government
Gongshang Primary School,Bukit Batok,WEST,1 Bukit Batok Crescent,S659579,gongshang_ps@moe.edu.sg,65607911,http://www.gongshangpri.moe.edu.sg,Government
Henry Park Primary School,Bukit Timah,WEST,311 Choa Chu Kang Road,S680311,henrypark_ps@moe.edu.sg,67691911,http://www.henryparkpri.moe.edu.sg,Government
Holland Primary School,Holland,WEST,1 Holland Drive,S279034,holland_ps@moe.edu.sg,67720055,http://www.hollandpri.moe.edu.sg,Government
Jurong Primary School,Jurong East,WEST,1 Jurong West Street 61,S649083,jurong_ps@moe.edu.sg,66849500,http://www.jurongpri.moe.edu.sg,Government
Keming Primary School,Jurong West,WEST,1 Keming Road,S648911,keming_ps@moe.edu.sg,66846611,http://www.kemingpri.moe.edu.sg,Government
Lakeside Primary School (Jurong),Jurong,WEST,1 Lakeside Road,S627662,lakeside2_ps@moe.edu.sg,65684077,http://www.lakeside2pri.moe.edu.sg,Government
Qihua Primary School,Clementi,WEST,1 Clementi Avenue 5,S129870,qihua_ps@moe.edu.sg,67732900,http://www.qihuapri.moe.edu.sg,Government
Tanglin Primary School,Holland,WEST,1 Tanglin Road,S247917,tanglin_ps@moe.edu.sg,67746722,http://www.tanglinpri.moe.edu.sg,Government
Woodgrove Primary School,Woodgrove,WEST,1 Woodgrove Drive,S737942,woodgrove_ps@moe.edu.sg,65632111,http://www.woodgrovepri.moe.edu.sg,Government
Yusof Ishak Primary School,Pasir Ris,EAST,1 Pasir Ris Street 71,S519457,yusofishak_ps@moe.edu.sg,65840922,http://www.yusofishakpri.moe.edu.sg,Government
Pathlight School,Ang Mo Kio,NORTH,1 Yishun Road,S768099,pathlight@moe.edu.sg,64457111,http://www.pathlight.moe.edu.sg,Special Education
CPASS East,Bedok,EAST,1 Bedok South Avenue 2,S469317,cpass_east@moe.edu.sg,64429122,http://www.cpasseast.moe.edu.sg,Special Education
Crest Secondary School,Woodlands,NORTH,1 Woodlands Road,S737881,crest_ss@moe.edu.sg,65632222,http://www.crest.moe.edu.sg,Special Education
Madrasah Aljunied,Geylang,CENTRAL,42 Jalan Tan Teng Niah,S387093,aljunied@moe.edu.sg,63974744,http://www.aljunied.moe.edu.sg,Government-Aided
Madrasah Al-Irsyad,Geylang,CENTRAL,1 Lorong 33A Geylang,S388033,irsyad@moe.edu.sg,67422680,http://www.alirsyad.moe.edu.sg,Government-Aided
Madrasah Al-Maarif,Clementi,WEST,1 Clementi Road,S129757,almaarif@moe.edu.sg,67731600,http://www.almaarif.moe.edu.sg,Government-Aided
Madrasah Angullia,Tanjong Pagar,SOUTH,41 Tanjong Pagar Road,S088457,angullia@moe.edu.sg,62223344,http://www.angullia.moe.edu.sg,Government-Aided
Madrasah Muhammadiah,Pasir Ris,EAST,1 Pasir Ris Street 71,S519457,muhammadiah@moe.edu.sg,65840811,http://www.muhammadiah.moe.edu.sg,Government-Aided
Madrasah Noor-ul-Islam,Bukit Merah,SOUTH,1 Lorong Melayu,S109037,nooruislam@moe.edu.sg,62780133,http://www.nooruislam.moe.edu.sg,Government-Aided
