School Name,Region,Science HOD Name,School Email,School Website
Horizon Primary School,Bukit Timah,Not publicly listed,horizon@moe.edu.sg,https://www.horizonpri.moe.edu.sg
Hougang Primary School,Hougang,Not publicly listed,hougang@moe.edu.sg,https://www.hougangpri.moe.edu.sg
Junyuan Primary School,Seng Kang,Not publicly listed,junyuan@moe.edu.sg,https://www.junyuanpri.moe.edu.sg
Jurong Green Primary School,Jurong East,Not publicly listed,jurong.green@moe.edu.sg,https://www.juronggreenpri.moe.edu.sg
Katong Convent Primary School,Katong,Not publicly listed,katong.convent@moe.edu.sg,https://www.katongconventpri.moe.edu.sg
Keming Primary School,Bedok,Not publicly listed,keming@moe.edu.sg,https://www.kemingpri.moe.edu.sg
Kiasuclub Primary School,Jurong,Not publicly listed,kiasuclub@moe.edu.sg,https://www.kiasuclubbri.moe.edu.sg
Kiang Kang Primary School,Ang Mo Kio,Not publicly listed,kiang.kang@moe.edu.sg,https://www.kiangkangpri.moe.edu.sg
Kranji Primary School,Kranji,Not publicly listed,kranji@moe.edu.sg,https://www.kranjipri.moe.edu.sg
Lakeside Primary School,Jurong East,Not publicly listed,lakeside@moe.edu.sg,https://www.lakesidepri.moe.edu.sg
Lianhua Primary School,Hougang,Not publicly listed,lianhua@moe.edu.sg,https://www.lianhuapri.moe.edu.sg
Lima Primary School,Clementi,Not publicly listed,lima@moe.edu.sg,https://www.limapri.moe.edu.sg
Lianyuan Primary School,Tampines,Not publicly listed,lianyuan@moe.edu.sg,https://www.lianyuanpri.moe.edu.sg
Lengkok Bahru Primary,Tiong Bahru,Not publicly listed,lengkok.bahru@moe.edu.sg,https://www.lengkokbahrpri.moe.edu.sg
Loyang Primary School,Bedok,Not publicly listed,loyang@moe.edu.sg,https://www.loyangpri.moe.edu.sg
Loyang View Primary,Bedok,Not publicly listed,loyang.view@moe.edu.sg,https://www.loyangviewpri.moe.edu.sg
Macpherson Primary School,Ubi,Not publicly listed,macpherson@moe.edu.sg,https://www.macphersonpri.moe.edu.sg
Mandarin Gardens Primary,Bedok,Not publicly listed,mandarin.gardens@moe.edu.sg,https://www.mandaringardenspri.moe.edu.sg
Marymount Primary School,Bishan,Not publicly listed,marymount@moe.edu.sg,https://www.marymountpri.moe.edu.sg
Mei Chin Primary School,Tiong Bahru,Not publicly listed,mei.chin@moe.edu.sg,https://www.meichinpri.moe.edu.sg
Meridian Primary School,Bukit Timah,Not publicly listed,meridian@moe.edu.sg,https://www.meridianpri.moe.edu.sg
Methodist Girls School Primary,Novena,Not publicly listed,methodist.girls@moe.edu.sg,https://www.methodistgirlspri.moe.edu.sg
Middle Road Primary School,Geylang,Not publicly listed,middle.road@moe.edu.sg,https://www.middleroadpri.moe.edu.sg
Minangkabau Primary School,Geylang,Not publicly listed,minangkabau@moe.edu.sg,https://www.minangkabaupri.moe.edu.sg
Montfort Primary School,Potong Pasir,Not publicly listed,montfort@moe.edu.sg,https://www.montfortpri.moe.edu.sg
Mouhot Primary School,Clementi,Not publicly listed,mouhot@moe.edu.sg,https://www.mouhotpri.moe.edu.sg
Mowbray Road Primary,Tiong Bahru,Not publicly listed,mowbray.road@moe.edu.sg,https://www.mowbrayroadpri.moe.edu.sg
Nan Chiau Primary School,Clementi,Not publicly listed,nan.chiau@moe.edu.sg,https://www.nanchiáupri.moe.edu.sg
Nee Soon Primary School,Nee Soon,Not publicly listed,nee.soon@moe.edu.sg,https://www.neesoonpri.moe.edu.sg
Northbrooks Primary School,Ang Mo Kio,Not publicly listed,northbrooks@moe.edu.sg,https://www.northbrookspri.moe.edu.sg
Nan Hua Primary School,Clementi,Not publicly listed,nan.hua@moe.edu.sg,https://www.nanhuapri.moe.edu.sg
Nan Hua High School Primary Section,Clementi,Not publicly listed,nan.hua.hs@moe.edu.sg,https://www.nanhuahspri.moe.edu.sg
Nan Yang Girls High School Primary,Bukit Timah,Not publicly listed,nan.yang.girls@moe.edu.sg,https://www.nanyanggirlshspri.moe.edu.sg
Nan Yang Primary School,Bukit Timah,Not publicly listed,nan.yang@moe.edu.sg,https://www.nanyangpri.moe.edu.sg
Nanyang Primary School,Bukit Timah,Not publicly listed,nanyang@moe.edu.sg,https://www.nanyangpri.moe.edu.sg
Paya Lebar Green Primary,Marine Parade,Not publicly listed,paya.lebar.green@moe.edu.sg,https://www.payalebargreenpri.moe.edu.sg
Ped Elementary School,Geylang,Not publicly listed,ped.elementary@moe.edu.sg,https://www.pedelementary.moe.edu.sg
Pei Chun Public School,Tiong Bahru,Not publicly listed,pei.chun@moe.edu.sg,https://www.peichun.moe.edu.sg
Pei Hwa Margaret Secondary School,Clementi,Not publicly listed,pei.hwa@moe.edu.sg,https://www.peihwa.moe.edu.sg
Pei Chun Primary School,Geylang,Not publicly listed,pei.chun.pri@moe.edu.sg,https://www.peichunpri.moe.edu.sg
Perlis Primary School,Clementi,Not publicly listed,perlis@moe.edu.sg,https://www.perlispri.moe.edu.sg
Pheng Geck Primary School,Geylang,Not publicly listed,pheng.geck@moe.edu.sg,https://www.phenggeckpri.moe.edu.sg
Ping Yi Primary School,Clementi,Not publicly listed,ping.yi@moe.edu.sg,https://www.pingyipri.moe.edu.sg
Potong Pasir Primary School,Potong Pasir,Not publicly listed,potong.pasir@moe.edu.sg,https://www.potongpasirpri.moe.edu.sg
Propagating Christ Primary,Clementi,Not publicly listed,propagating.christ@moe.edu.sg,https://www.propagatingchristpri.moe.edu.sg
Punggol Green Primary,Sengkang,Not publicly listed,punggol.green@moe.edu.sg,https://www.punggolgreenpri.moe.edu.sg
Punggol View Primary,Sengkang,Not publicly listed,punggol.view@moe.edu.sg,https://www.punggolviewpri.moe.edu.sg
Raffles Girls' Primary School,Bishan,Not publicly listed,raffles.girls@moe.edu.sg,https://www.rafflesgirlspri.moe.edu.sg
Raffles Institution Primary,Bishan,Not publicly listed,raffles.inst@moe.edu.sg,https://www.rafflesinstpri.moe.edu.sg
Regent Primary School,Bukit Merah,Not publicly listed,regent@moe.edu.sg,https://www.regentpri.moe.edu.sg
Riverdale Primary School,Bukit Timah,Not publicly listed,riverdale@moe.edu.sg,https://www.riverdalepri.moe.edu.sg
Rowan Primary School,Bukit Merah,Not publicly listed,rowan@moe.edu.sg,https://www.rowanpri.moe.edu.sg
Radin Mas Primary School,Bukit Merah,Not publicly listed,radin.mas@moe.edu.sg,https://www.radinnmaspri.moe.edu.sg
Raffles Girls School Primary,Bishan,Not publicly listed,raffles.girls.sch@moe.edu.sg,https://www.rafflesgirlsschpri.moe.edu.sg
River Valley Primary School,Bukit Merah,Not publicly listed,river.valley@moe.edu.sg,https://www.rivervalleypri.moe.edu.sg
Royal Primary School,Bukit Merah,Not publicly listed,royal@moe.edu.sg,https://www.royalpri.moe.edu.sg
Sanyuan Primary School,Clementi,Not publicly listed,sanyuan@moe.edu.sg,https://www.sanyuanpri.moe.edu.sg
Scenic Primary School,Hougang,Not publicly listed,scenic@moe.edu.sg,https://www.scenicpri.moe.edu.sg
Sembawang Primary School,Sembawang,Not publicly listed,sembawang@moe.edu.sg,https://www.sembawangpri.moe.edu.sg
Seng Kang Primary School,Seng Kang,Not publicly listed,seng.kang@moe.edu.sg,https://www.sengkangpri.moe.edu.sg
Seng Poh Primary School,Tiong Bahru,Not publicly listed,seng.poh@moe.edu.sg,https://www.sengpohpri.moe.edu.sg
Serangoon Gardens Primary,Serangoon,Not publicly listed,serangoon.gardens@moe.edu.sg,https://www.serangoongardensпri.moe.edu.sg
Serangoon Primary School,Serangoon,Not publicly listed,serangoon@moe.edu.sg,https://www.serangoonpri.moe.edu.sg
Seraya Primary School,Pasir Ris,Not publicly listed,seraya@moe.edu.sg,https://www.serayapri.moe.edu.sg
Shanshan Primary School,Clementi,Not publicly listed,shanshan@moe.edu.sg,https://www.shanshanpri.moe.edu.sg
Shipley Primary School,Clementi,Not publicly listed,shipley@moe.edu.sg,https://www.shipley.moe.edu.sg
Singapore Chinese Girls School,Tiong Bahru,Not publicly listed,sing.chinese.girls@moe.edu.sg,https://www.singchinesegirlspri.moe.edu.sg
Siglap Primary School,Marine Parade,Not publicly listed,siglap@moe.edu.sg,https://www.siglappri.moe.edu.sg
Sinan Primary School,Marine Parade,Not publicly listed,sinan@moe.edu.sg,https://www.sinanpri.moe.edu.sg
Singa Primary School,Clementi,Not publicly listed,singa@moe.edu.sg,https://www.singapri.moe.edu.sg
Sook Kheng Primary School,Clementi,Not publicly listed,sook.kheng@moe.edu.sg,https://www.sookkhengpri.moe.edu.sg
South View Primary School,Bukit Merah,Not publicly listed,south.view@moe.edu.sg,https://www.southviewpri.moe.edu.sg
St Andrew's Primary School,Novena,Not publicly listed,st.andrews@moe.edu.sg,https://www.standewspri.moe.edu.sg
St Andrew's Secondary (Primary Dept),Novena,Not publicly listed,st.andrews.sec@moe.edu.sg,https://www.standewsecpri.moe.edu.sg
St Gabriel's Primary School,Yishun,Not publicly listed,st.gabriels@moe.edu.sg,https://www.stgabrielspri.moe.edu.sg
St Hilda's Primary School,Clementi,Not publicly listed,st.hildas@moe.edu.sg,https://www.sthildaspri.moe.edu.sg
St Jude's Primary School,Bukit Merah,Not publicly listed,st.judes@moe.edu.sg,https://www.stjudespri.moe.edu.sg
St Margaret's Primary School,Marine Parade,Not publicly listed,st.margarets@moe.edu.sg,https://www.stmargarets.moe.edu.sg
St Michael's Primary School,Bishan,Not publicly listed,st.michaels@moe.edu.sg,https://www.stmichaelspri.moe.edu.sg
St Paul's Primary School,Bukit Merah,Not publicly listed,st.pauls@moe.edu.sg,https://www.stpaulspri.moe.edu.sg
St Stephen's Primary School,Bukit Merah,Not publicly listed,st.stephens@moe.edu.sg,https://www.ststephenspri.moe.edu.sg
Stamford Primary School,Geylang,Not publicly listed,stamford@moe.edu.sg,https://www.stamfordpri.moe.edu.sg
Sunset Primary School,Bukit Timah,Not publicly listed,sunset@moe.edu.sg,https://www.sunsetpri.moe.edu.sg
Tanjong Katong Primary School,Katong,Not publicly listed,tanjong.katong@moe.edu.sg,https://www.tanjongkatongpri.moe.edu.sg
Tanglin Trust School Primary,Tiong Bahru,Not publicly listed,tanglin.trust@moe.edu.sg,https://www.tanglintrustpri.moe.edu.sg
Tanjong Pagar Primary School,Tanjong Pagar,Not publicly listed,tanjong.pagar@moe.edu.sg,https://www.tanjongpagarpri.moe.edu.sg
Tao Nan School Primary,Tiong Bahru,Not publicly listed,tao.nan@moe.edu.sg,https://www.taonânpri.moe.edu.sg
Temasek Primary School,Marine Parade,Not publicly listed,temasek@moe.edu.sg,https://www.temasekpri.moe.edu.sg
Telok Blangah Primary School,Bukit Merah,Not publicly listed,telok.blangah@moe.edu.sg,https://www.telokblanghapri.moe.edu.sg
Tianniao Primary School,Clementi,Not publicly listed,tianniao@moe.edu.sg,https://www.tianniaopri.moe.edu.sg
Ting Wen Primary School,Clementi,Not publicly listed,ting.wen@moe.edu.sg,https://www.tingwenpri.moe.edu.sg
Toa Payoh Primary School,Toa Payoh,Not publicly listed,toa.payoh@moe.edu.sg,https://www.toapayohpri.moe.edu.sg
Townsville Primary School,Bukit Timah,Not publicly listed,townsville@moe.edu.sg,https://www.townsvillepri.moe.edu.sg
Tung Lu Primary School,Clementi,Not publicly listed,tung.lu@moe.edu.sg,https://www.tunglupri.moe.edu.sg
Tuoe Primary School,Clementi,Not publicly listed,tuoe@moe.edu.sg,https://www.tuoepri.moe.edu.sg
Tian Hou Primary School,Clementi,Not publicly listed,tian.hou@moe.edu.sg,https://www.tianhouspri.moe.edu.sg
United World College Primary,Tiong Bahru,Not publicly listed,uwc@moe.edu.sg,https://www.uwcpri.moe.edu.sg
Upper Bukit Timah Primary,Bukit Timah,Not publicly listed,upper.bukit.timah@moe.edu.sg,https://www.upperbukit timahpri.moe.edu.sg
Ulu Pandan Primary School,Bukit Merah,Not publicly listed,ulu.pandan@moe.edu.sg,https://www.ulupandanpri.moe.edu.sg
Unity Primary School,Clementi,Not publicly listed,unity@moe.edu.sg,https://www.unitypri.moe.edu.sg
Vanda Miss Joaquim Primary,Clementi,Not publicly listed,vanda@moe.edu.sg,https://www.vandamissjoaquimpri.moe.edu.sg
Victoria Primary School,Bukit Merah,Not publicly listed,victoria@moe.edu.sg,https://www.victoriapri.moe.edu.sg
Wangsa Primary School,Bukit Timah,Not publicly listed,wangsa@moe.edu.sg,https://www.wangsapri.moe.edu.sg
Waterloo Primary School,Geylang,Not publicly listed,waterloo@moe.edu.sg,https://www.waterloopri.moe.edu.sg
Wei Ming Primary School,Ang Mo Kio,Not publicly listed,wei.ming@moe.edu.sg,https://www.weimingpri.moe.edu.sg
Westlake Primary School,Jurong East,Not publicly listed,westlake@moe.edu.sg,https://www.westlakepri.moe.edu.sg
West View Primary School,Clementi,Not publicly listed,west.view@moe.edu.sg,https://www.westviewpri.moe.edu.sg
Whitley Secondary School,Clementi,Not publicly listed,whitley.sec@moe.edu.sg,https://www.whitley.moe.edu.sg
Willoughby Primary School,Clementi,Not publicly listed,willoughby@moe.edu.sg,https://www.willoughbypri.moe.edu.sg
Woodgrove Primary School,Woodlands,Not publicly listed,woodgrove@moe.edu.sg,https://www.woodgrovepri.moe.edu.sg
Woodlands Primary School,Woodlands,Not publicly listed,woodlands@moe.edu.sg,https://www.woodlandspri.moe.edu.sg
Woodlands Ring Primary School,Woodlands,Not publicly listed,woodlands.ring@moe.edu.sg,https://www.woodlandsringpri.moe.edu.sg
Woodlands View Primary,Woodlands,Not publicly listed,woodlands.view@moe.edu.sg,https://www.woodlandsviewpri.moe.edu.sg
Yew Tee Primary School,Bukit Panjang,Not publicly listed,yew.tee@moe.edu.sg,https://www.yewteepri.moe.edu.sg
Yishun Primary School,Yishun,Not publicly listed,yishun@moe.edu.sg,https://www.yishunpri.moe.edu.sg
Yuanlin Primary School,Clementi,Not publicly listed,yuanlin@moe.edu.sg,https://www.yuanlinpri.moe.edu.sg
Yuying Primary School,Clementi,Not publicly listed,yuying@moe.edu.sg,https://www.yuyingpri.moe.edu.sg
Zhangde Primary School,Clementi,Not publicly listed,zhangde@moe.edu.sg,https://www.zhangdepri.moe.edu.sg
Zhenghua Primary School,Clementi,Not publicly listed,zhenghua@moe.edu.sg,https://www.zhenghuapri.moe.edu.sg
Zhonghua Primary School,Clementi,Not publicly listed,zhonghua@moe.edu.sg,https://www.zhonghuapri.moe.edu.sg
Zhongshan Primary School,Clementi,Not publicly listed,zhongshan@moe.edu.sg,https://www.zhongshanpri.moe.edu.sg
Zhuji Primary School,Clementi,Not publicly listed,zhuji@moe.edu.sg,https://www.zhujipri.moe.edu.sg
